type,species,howMeasure,durationMin,durationMax,distMin,distMax,lifetime_years
Algae,Enteromorpha,E,8,8,35,35,
Algae,Ectocarpus siliculosus,E,,,4,4,
Algae,Codium Fragile spp. Tomentosoides,I,,,12,12,
Algae,Sargassum muticum,I,,,10,90,
,,,,,,,
Mollusks,Cymatium parthenopeum,D,293,293,4400,4400,
Mollusks,Littorina littorea,I,30,30,42,42,5
Mollusks,Ensis Directus,I,16,16,111,111,7
Mollusks,Perna perna,I,15,20,235,235,2
,,,,,,,
Crustaceans,Elminius modestus,I,17,34,8,74,5
Crustaceans,Hemigrapsus penicillatus,I,16,55,160,160,2
Crustaceans,Hemigrapsus sanguineus,I,16,55,33,33,8
Crustaceans,Carcinus maenas,I,80,80,12,334,4
,,,,,,,
Fish,Lutjanus kasmira,I,25,47,33,130,6
,,,,,,,
Higher Plants,Zostera japonica,I,,,6,6,
,,,,,,,
Algae,Grateloupia doryphora,I,,,10,10,
,,,,,,,
Molluscs,Crepidula fornicata,I,14,21,28.5,28.5,7.5
Molluscs,Rapana venos,I,14,17,100,100,15
Molluscs,Philine spp.,I,30,40,260,260,1
Molluscs,Venerupis philippinarum,I,21,28,20,20,7
Molluscs,Musculista senhousia,I,16,16,116,116,2
Molluscs,Perna viridis,I,14,21,33,33,2
Molluscs,Mya arenaria,I,10,35,35,35,11
,,,,,,,
Polychaetes,Marenzelleria viridis,I,56,56,55,64,1
,,,,,,,
Crustaceans,Paralithodes camtschaticus,I,90,90,32,32,25
Crustaceans,Balanus glandula,I,14,28,85,85,10
Crustaceans,Cancer magister,T,90,120,500,500,9
,,,,,,,
Echinoderms,Asterias amurensis,I,40,50,22.5,22.5,3
Echinoderms,Acanthaster planci,I,14,14,49,81,16
,,,,,,,
Fishes,Pterois volitans,I,25,40,48.5,48.5,10
Fishes,Sebastes melanops,T,83,174,120,120,50
